time_s,y_mm,vy_mps,psi_deg,ir_error,omega_cmd,gyro_z,vy_est_mps,turn_pwm
0.0,-40.0,0.0,0.0,3.421461183565004,0.2,0.0,-0.30793150652085033,0.0
0.01,-40.0,0.0,0.0,3.421461183565004,0.2,0.0,-0.30793150652085033,8.8
0.02,-40.0,0.0,0.0,3.421461183565004,0.4,0.0,-0.25250383534709725,8.8
0.03,-40.0,0.0,0.0,3.421461183565004,0.4,0.0,-0.25250383534709725,17.6
0.04,-40.0,0.0,0.0,3.421461183565004,0.6000000000000001,0.0,-0.20705314498461974,17.6
0.05,-40.0,0.0,0.0,3.421461183565004,0.6000000000000001,0.0,-0.20705314498461974,26.400000000000006
0.06,-40.0,0.0,0.0,3.421461183565004,0.7,0.0,-0.16978357888738818,26.400000000000006
0.07,-40.0,0.0,0.0,3.421461183565004,0.7,0.0,-0.16978357888738818,30.799999999999997
0.08,-40.0,0.0,0.0,3.421461183565004,0.7,0.0,-0.1392225346876583,30.799999999999997
0.09,-40.0,0.0,0.0,3.421461183565004,0.7,0.0,-0.1392225346876583,30.799999999999997
0.1,-40.0,0.0,0.0,3.421461183565004,0.7,0.0,-0.1141624784438798,30.799999999999997
0.11,-40.0,0.0,0.0,3.421461183565004,0.7,0.0,-0.1141624784438798,30.799999999999997
0.12,-39.99958971141402,0.00011107540828335941,0.014903894977362026,3.4214002520575084,0.7,0.04651548271093918,-0.09822970354616638,30.193841959624976
0.13,-39.996781700602064,0.0004522887116136536,0.05488360321108165,3.4214002520575084,0.7,0.08811348784953363,-0.09822970354616638,29.34563700572644
0.14,-39.98900035699757,0.001110385148703183,0.1321920797740008,3.420856303305293,0.7,0.1718293591335358,-0.0991383934485904,27.858492449065157
0.15,-39.97232185830885,0.0021826657591283534,0.25463055247081423,3.420856303305293,0.7,0.24669503913721477,-0.0991383934485904,26.17345573556055
0.16,-39.942439005491764,0.0037364037368603146,0.4323319081995409,3.4196404066578667,0.7,0.3601616262976197,-0.11526482239044739,23.918354567463375
0.17,-39.89387973964945,0.005851458393813655,0.6712014338503527,3.4196404066578667,0.7,0.4616328655640949,-0.11526482239044739,21.538710436299205
0.18,-39.821158123434444,0.008523918446470132,0.9722245611154063,2.9122456101013983,0.7,0.5756346105593184,-0.09608600284600077,18.96237793536376
0.19,-39.718559550737616,0.011760045869238,1.3347043540279788,2.9122456101013983,0.7,0.6775844323764915,-0.09608600284600077,16.447272248753002
0.2,-39.580782394170434,0.015499903181980822,1.752143797887163,2.880518033839628,0.7,0.7687564242524826,-0.12915409426988875,14.11360186768977
0.21,-39.403089884649674,0.01968972060038131,2.2187327229352167,2.880518033839628,0.7,0.8502899861015885,-0.12915409426988875,11.992858477551652
