time_s,y_mm,vy_mps,psi_deg,ir_error,omega_cmd,gyro_z,vy_est_mps,turn_pwm
0.0,-40.0,0.0,0.0,3.9861,0.2,0.0,-0.358749,0.0
0.01,-40.0,0.0,0.0,3.9861,0.2,0.0,-0.358749,5.6
0.02,-39.999738907262845,7.06843510456256e-05,0.009484296803775834,3.9861,0.4,0.029600761725143115,-0.29711542412772884,5.471421021738632
0.03,-39.99795798604664,0.00028619716075310156,0.034708164817471965,3.9861,0.4,0.05539257030875924,-0.29711542412772884,10.894451000513804
0.04,-39.99305550013454,0.0006977668034449044,0.08302059392042556,3.974819302649488,0.6000000000000001,0.10712307078936635,-0.2542255814370975,10.587190531206836
0.05,-39.98262039337538,0.0013613965326936463,0.1586997918957808,3.974819302649488,0.6000000000000001,0.15176064478560053,-0.2542255814370975,15.846790001023301
0.06,-39.9640687769218,0.0023122561809017107,0.2673502362824905,3.9152644723285364,0.7,0.21948072357446094,-0.22372438299958905,15.396104281488856
0.07,-39.93415599957634,0.0035924611628700906,0.4117442877578904,3.9152644723285364,0.7,0.2776593811273208,-0.22372438299958905,17.732219379792785
0.08,-39.88972277077294,0.005189958595666559,0.5914581002746205,3.8068446531278255,0.7,0.34203591989324955,-0.20133652654955628,17.240485676156062
0.09,-39.82755673626304,0.007099678954665645,0.8050435467131833,3.8068446531278255,0.7,0.39700753296496993,-0.20133652654955628,16.775637667332205
0.1,-39.744794937228036,0.009275370130011961,1.0474761040922076,3.6489853511603845,0.7,0.44371059468825147,-0.18070496074859937,16.361751427998446
0.11,-39.639004489861186,0.011676684889340424,1.3143846279710951,3.6489853511603845,0.7,0.48328860784190014,-0.18070496074859937,16.002971826873747
0.12,-39.508124265712816,0.01426896531420112,1.6020214393062155,3.45008150531447,0.7,0.5167860966700043,-0.158841608758499,15.695897938356328
0.13,-39.35041107923435,0.017022659731442433,1.9071961868355762,3.45008150531447,0.7,0.5451191846570649,-0.158841608758499,15.434713419537514
0.14,-39.16439227707673,0.019912659450107277,2.2272025373062214,3.2176580553123704,0.7,0.5690764011375716,-0.1364477529814861,15.213248580503297
0.15,-38.94882484008305,0.022917665735841117,2.5597487929056397,3.2176580553123704,0.7,0.5893303024281689,-0.1364477529814861,15.025754364901902
0.16,-38.70266045804198,0.02601962399693045,2.9028960843071654,2.9571773944657624,0.7,0.6064519555539429,-0.11442349547879527,14.867143726278435
0.17,-38.42501585171163,0.029203232455395228,3.255004780480261,2.9571773944657624,0.7,0.6209251666776996,-0.11442349547879527,14.73301976567475
0.18,-38.11514761479958,0.03245552126196493,3.6146886164924843,2.67257562304085,0.7,0.6331593540734379,-0.09336264308827288,14.61962457800065
0.19,-37.77243091286512,0.035765494317395355,3.980775674307276,2.67257562304085,0.7,0.6435007898171836,-0.09336264308827288,14.52376408623056
0.2,-37.39634145832435,0.039123825431839794,4.352275296509449,2.366688825678181,0.7,0.6522422557247379,-0.07358069418278847,14.442730903117038
0.21,-36.98644026200887,0.04252260097868229,4.728350074761556,2.366688825678181,0.7,0.6596312707511615,-0.07358069418278847,14.37423333262037
