time_s,y_mm,vy_mps,psi_deg,ir_error,omega_cmd,gyro_z,vy_est_mps,turn_pwm
1.6,-0.34926921193694904,0.0004887231847863372,0.0539702193380257,0.0035704367580878024,0.0014399621105900535,0.002105608671330541,-0.0002537456603457637,0.027214601954065963
1.61,-0.3443224542877343,0.0004994843048092557,0.05515141334877727,0.0035704367580878024,0.0014399621105900535,0.0020268623385730255,-0.0002537456603457637,0.02359734740372013
1.62,-0.3392704328043606,0.0005098101652147275,0.05628403009792159,0.0032209841778807233,0.0012901308871641516,0.001937320566281528,-0.00021704856654119843,0.024290312292920873
1.63,-0.334117597807552,0.0005197017594587769,0.05736954981556646,0.0032209841778807233,0.0012901308871641516,0.0018609077907561153,-0.00021704856654119843,0.020744995123017335
1.64,-0.328868126316436,0.0005291705475342039,0.05840787209292483,0.0028755954760760934,0.0011434296478813528,0.0017738331292370094,-0.0001826283083396267,0.021418072088386433
1.65,-0.32352634470338926,0.0005382170246220628,0.05940039363927708,0.0028755954760760934,0.0011434296478813528,0.0016995215243309511,-0.0001826283083396267,0.017942186734066334
1.66,-0.3180963163960504,0.0005468519676168145,0.06034696804696931,0.002534618395689727,0.0009997524560594019,0.0016146929101476777,-0.0001501813567573301,0.01859726567277909
1.67,-0.3125822551139663,0.000555075484926782,0.06124892205287439,0.002534618395689727,0.0009997524560594019,0.0015422947723026652,-0.0001501813567573301,0.015189518062579193
1.68,-0.3069881206174621,0.0005628977952090505,0.06210607584184457,0.0021984125385702,0.0008590402055694174,0.001459537505087105,-0.00011946108942646329,0.01582811233106996
1.69,-0.30131802293269855,0.0005703187198689494,0.06291969794290245,0.0021984125385702,0.0008590402055694174,0.001388904602110487,-0.00011946108942646329,0.012488176425986444
1.7,-0.2955758259585416,0.0005773480270615796,0.06368958628676598,0.0018673445915242798,0.0007212717696235174,0.0013080843969402423,-9.026821678669264e-05,0.013111468528051264
1.71,-0.2897655429465967,0.0005839853392351377,0.06441696126828084,0.0018673445915242798,0.0007212717696235174,0.0012391028906476435,-9.026821678669264e-05,0.0098397815311886
1.72,-0.2838909478979005,0.0005902400657966522,0.06510160832430723,0.0015417840232473676,0.0005864564033012552,0.0011601202549605435,-6.24426602195687e-05,0.010448667077257615
1.73,-0.27795596244827575,0.0005961117069989181,0.06574470822539787,0.0015417840232473676,0.0005864564033012552,0.0010927059049082694,-6.24426602195687e-05,0.007246257687579173
1.74,-0.27196427508217114,0.000601609390641372,0.06634604236215015,0.0012220992535892797,0.00045462725449470643,0.0010154909414568562,-3.585668765127806e-05,0.007841386550893397
1.75,-0.2659197194784794,0.0006067325609634384,0.06690675897144177,0.0012220992535892797,0.00045462725449470643,0.0009495846748578605,-3.585668765127806e-05,0.004709731346466752
1.76,-0.2598259016432407,0.0006114901281463525,0.06742664263304238,0.0009086542797260027,0.0003258358468042807,0.0008740923608239137,-1.0409131866906325e-05,0.005291545421369918
1.77,-0.253686569694247,0.000615881536869093,0.06790681487192068,0.0009086542797260027,0.0003258358468042807,0.0008096562503248804,-1.0409131866906325e-05,0.0022324491091853223
1.78,-0.24750524907106328,0.0006199155320015653,0.06834706959017225,0.0006018057333085025,0.00020014740889828114,0.0007358622073323287,1.3979463679592995e-05,0.002801216411768499
1.79,-0.24128560367587884,0.000623591606300133,0.06874850630233412,0.0006018057333085025,0.00020014740889828114,0.0006728758684590566,1.3979463679592995e-05,-0.0001832877314215716
1.8,-0.235031079361318,0.0006269183813648955,0.0691109333755702,0.00030190033677175335,7.763693679570214e-05,0.000600772614615832,3.737090809921536e-05,0.00037255734805080164
1.81,-0.22874525629790168,0.0006298954377734632,0.06943543203691073,0.00030190033677175335,7.763693679570214e-05,0.0005392300147879594,3.737090809921536e-05,-0.002535175300327804
1.82,-0.2224315009698985,0.0006325313069625092,0.0697218293799104,9.272724323616162e-06,-4.161411235354144e-05,0.0004688236748500759,5.981275448907612e-05,-0.001992244521371319
1.83,-0.2160933096044587,0.0006348256900720875,0.0699711912203925,9.272724323616162e-06,-4.161411235354144e-05,0.0004087303332103982,5.981275448907612e-05,-0.004820948473885632
1.84,-0.20973396892539056,0.0006367870537700383,0.07018336686125833,-0.00027575640732810006,-0.00015752058465723888,0.00034003777408027884,8.134112278987181e-05,-0.004291017219075918
1.85,-0.20335689045378588,0.0006384152463359885,0.07035940885734702,-0.00027575640732810006,-0.00015752058465723888,0.00028140832393343593,8.134112278987181e-05,-0.007038413515087128
1.86,-0.19696528028085555,0.0006397186884593835,0.07049919152084697,-0.0005528818524707814,-0.00026999593063149524,0.00021445467817135882,0.00010198304302229566,-0.006521639770002845
1.87,-0.1905624640331522,0.0006406973967454866,0.07060375567833595,-0.0005528818524707814,-0.00026999593063149524,0.0001573107600504795,0.00010198304302229566,-0.009185473685910783
1.88,-0.18415156592994256,0.0006413597590821507,0.07067300285501207,-0.000821815186170865,-0.0003789541115005217,9.212729854863568e-05,0.0001217583951209586,-0.008682070621980502
1.89,-0.17773582419661374,0.000641705976896806,0.07070796316108958,-0.000821815186170865,-0.0003789541115005217,3.6495750688547174e-05,0.0001217583951209586,-0.011260149186461338
1.9,-0.17131827967073895,0.0006417444137158316,0.070708567020298,-0.0010822858200115772,-0.0004843111697891348,-2.6881933857925043e-05,0.0001406815103801104,-0.010770370100356527
1.91,-0.16490208144377258,0.0006414754682247987,0.0706758344028297,-0.0010822858200115772,-0.0004843111697891348,-8.097062040354457e-05,0.0001406815103801104,-0.013260592507339894
1.92,-0.1584901852740195,0.0006409074840620547,0.07060972586769153,-0.001334041850805511,-0.000585986515087051,-0.00014250415581746237,0.00015876248974016298,-0.01278471799122059
1.93,-0.1520856492382783,0.0006400410661052195,0.07051125146045766,-0.001334041850805511,-0.000585986515087051,-0.00019501714863127726,0.00015876248974016298,-0.015185100069075905
1.94,-0.1456913422002241,0.000638884539282795,0.07038040272466853,-0.0015768507265997624,-0.0006839039685533928,-0.00025466668540594605,0.000176008285657968,-0.01472342714312888
1.95,-0.13931022925938927,0.0006374387205883441,0.0702181797006076,-0.0015768507265997624,-0.0006839039685533928,-0.0003055699177560522,0.000176008285657968,-0.01703212085095963
1.96,-0.13294509051074158,0.0006357119147054774,0.07002460543186782,-0.0018104997516611686,-0.0007779926033239417,-0.0003632952221249323,0.00019242358699004362,-0.01658495381035343
1.97,-0.12659879608755945,0.0006337051540883583,0.0698006696327508,-0.0018104997516611686,-0.0007779926033239417,-0.0004125543220968456,0.00019242358699004362,-0.018800262573555847
1.98,-0.12027403543284003,0.0006314267194294178,0.06954642707558559,-0.0020347964496466573,-0.0008681874124122833,-0.00046831568800195615,0.00020801154004793776,-0.018367905324824206
1.99,-0.11397358174460027,0.0006288778597840546,0.06926285663618659,-0.0020347964496466573,-0.0008681874124122833,-0.0005158967535477172,0.00020801154004793776,-0.02048829588817068
2.0,-0.10770003196269247,0.0006260668263270586,0.06895004479822446,-0.0022495688018642555,-0.0009544298308782455,-0.0005696557584064945,0.00022277433363434153,-0.020071045573475027
2.01,-0.10145606043930322,0.0006229950839771627,0.06860895893597452,-0.0022495688018642555,-0.0009544298308782455,-0.0006155259995129224,0.00022277433363434153,-0.022095156937300967
2.02,-0.09524416982621257,0.0006196708474536399,0.06823971701628308,-0.0024546653754563582,-0.0010366681349024652,-0.0006672461257337148,0.0002367136713236532,-0.02169329866792196
2.03,-0.08906693380931281,0.0006160957952035677,0.06784327413347542,-0.0024546653754563582,-0.0010366681349024652,-0.0007113743923951703,0.0002367136713236532,-0.023619948578664243
