frame,candidate_index,kind,u_px,v_px,l_value,a_delta,b_delta,halo_kind,halo_distance_px,halo_u_px,halo_v_px,halo_area,halo_mean_a_delta
89,54,unknown,990.0,477.0,132,1,-2,none,,,,,
89,55,unknown,621.0,486.0,129,1,0,none,,,,,
89,56,unknown,624.0,495.0,128,-1,2,none,,,,,
89,57,unknown,745.0,384.0,127,0,2,none,,,,,
89,58,unknown,689.0,532.0,127,1,0,none,,,,,
89,59,unknown,989.0,384.0,126,0,0,none,,,,,
89,60,unknown,766.0,398.0,126,0,2,none,,,,,
89,61,unknown,838.0,280.0,125,0,4,none,,,,,
89,62,unknown,662.0,472.0,109,-1,8,none,,,,,
91,0,red,691.0,346.0,186,3,4,red,11.05826894228928,690.776,334.944,6,20.833333333333332
91,1,green,672.0,334.0,180,2,4,green,15.301751896796345,686.9,330.51666666666665,6,-20.0
91,2,green,675.0,318.0,151,0,1,green,17.270696119277982,686.9,330.51666666666665,6,-20.0
91,3,red,703.0,343.0,120,0,3,red,14.63985355118011,690.776,334.944,6,20.833333333333332
91,4,unknown,641.0,465.0,206,2,2,none,,,,,
91,5,unknown,625.0,466.0,205,2,1,none,,,,,
91,6,unknown,654.0,454.0,203,3,4,none,,,,,
91,7,unknown,726.0,394.0,202,2,1,none,,,,,
91,8,unknown,680.0,432.0,200,0,3,none,,,,,
91,9,unknown,663.0,446.0,199,3,4,none,,,,,
91,10,unknown,613.0,450.0,199,3,3,none,,,,,
91,11,unknown,701.0,415.0,195,4,4,none,,,,,
91,12,unknown,583.0,412.0,192,1,3,none,,,,,
91,13,unknown,595.0,428.0,192,1,3,none,,,,,
91,14,unknown,626.0,369.0,190,2,2,none,,,,,
91,15,unknown,711.0,374.0,190,5,5,none,,,,,
91,16,unknown,616.0,377.0,189,2,3,none,,,,,
91,17,unknown,587.0,400.0,188,1,3,none,,,,,
91,18,unknown,716.0,382.0,187,3,3,none,,,,,
91,19,unknown,597.0,392.0,187,3,2,none,,,,,
91,20,unknown,644.0,355.0,186,2,2,none,,,,,
91,21,unknown,701.0,360.0,185,5,4,none,,,,,
91,22,unknown,989.0,184.0,164,1,-3,none,,,,,
91,23,unknown,436.0,170.0,160,-2,6,none,,,,,
91,24,unknown,448.0,311.0,148,0,5,none,,,,,
91,25,unknown,567.0,400.0,148,0,2,none,,,,,
91,26,unknown,583.0,388.0,147,0,1,none,,,,,
91,27,unknown,611.0,366.0,146,0,1,none,,,,,
91,28,unknown,624.0,356.0,145,2,1,none,,,,,
91,29,unknown,567.0,411.0,145,0,2,none,,,,,
91,30,unknown,799.0,532.0,143,0,1,none,,,,,
91,31,unknown,550.0,155.0,140,0,4,none,,,,,
91,32,unknown,703.0,435.0,131,1,0,none,,,,,
91,33,unknown,714.0,356.0,130,-2,5,none,,,,,
91,34,unknown,608.0,466.0,130,0,0,none,,,,,
91,35,unknown,762.0,407.0,129,1,2,none,,,,,
91,36,unknown,650.0,490.0,127,-1,2,none,,,,,
91,37,unknown,764.0,396.0,126,0,2,none,,,,,
92,0,red,700.0,359.0,186,2,3,red,24.258164419248118,693.1847389558233,335.718875502008,13,19.153846153846153
92,1,red,695.0,352.0,184,3,5,red,16.382008044730668,693.1847389558233,335.718875502008,13,19.153846153846153
92,2,red,671.0,335.0,180,1,2,red,22.196383140624725,693.1847389558233,335.718875502008,13,19.153846153846153
92,3,red,704.0,344.0,120,0,6,red,13.621559910851982,693.1847389558233,335.718875502008,13,19.153846153846153
92,4,unknown,633.0,472.0,207,0,4,none,,,,,
92,5,unknown,640.0,466.0,206,2,1,none,,,,,
92,6,unknown,651.0,456.0,199,3,3,none,,,,,
92,7,unknown,679.0,433.0,197,2,4,none,,,,,
92,8,unknown,673.0,438.0,196,4,1,none,,,,,
92,9,unknown,692.0,422.0,195,3,3,none,,,,,
92,10,unknown,686.0,427.0,195,1,3,none,,,,,
92,11,unknown,725.0,395.0,194,1,3,none,,,,,
92,12,unknown,702.0,414.0,194,2,3,none,,,,,
92,13,unknown,594.0,427.0,193,3,4,none,,,,,
92,14,unknown,625.0,370.0,192,4,1,none,,,,,
92,15,unknown,584.0,414.0,191,3,4,none,,,,,
92,16,unknown,615.0,378.0,190,3,2,none,,,,,
92,17,unknown,718.0,384.0,190,3,3,none,,,,,
92,18,unknown,593.0,396.0,189,2,1,none,,,,,
92,19,unknown,711.0,374.0,188,3,3,none,,,,,
92,20,unknown,643.0,356.0,187,0,4,none,,,,,
92,21,unknown,604.0,387.0,186,2,1,none,,,,,
92,22,unknown,505.0,163.0,179,2,4,none,,,,,
92,23,unknown,990.0,250.0,168,1,-1,none,,,,,
92,24,unknown,436.0,170.0,164,-2,6,none,,,,,
92,25,unknown,989.0,191.0,164,1,-3,none,,,,,
92,26,unknown,989.0,163.0,161,1,-1,none,,,,,
92,27,unknown,674.0,319.0,151,0,1,none,,,,,
92,28,unknown,577.0,393.0,151,0,1,none,,,,,
92,29,unknown,668.0,323.0,150,0,1,none,,,,,
92,30,unknown,795.0,192.0,147,0,5,none,,,,,
92,31,unknown,596.0,378.0,147,1,0,none,,,,,
92,32,unknown,583.0,388.0,147,0,2,none,,,,,
92,33,unknown,564.0,403.0,147,0,2,none,,,,,
92,34,unknown,680.0,314.0,146,-1,2,none,,,,,
92,35,unknown,610.0,367.0,146,0,1,none,,,,,
92,36,unknown,566.0,410.0,146,0,2,none,,,,,
92,37,unknown,795.0,221.0,145,0,5,none,,,,,
92,38,unknown,602.0,373.0,145,0,2,none,,,,,
92,39,unknown,626.0,355.0,144,0,1,none,,,,,
92,40,unknown,571.0,417.0,143,0,2,none,,,,,
92,41,unknown,548.0,155.0,140,0,4,none,,,,,
92,42,unknown,568.0,155.0,139,0,4,none,,,,,
92,43,unknown,714.0,427.0,131,-2,4,none,,,,,
92,44,unknown,735.0,407.0,130,0,2,none,,,,,
92,45,unknown,762.0,407.0,129,0,4,none,,,,,
92,46,unknown,990.0,441.0,129,1,-1,none,,,,,
92,47,unknown,607.0,465.0,129,1,0,none,,,,,
92,48,unknown,626.0,491.0,128,-1,2,none,,,,,
92,49,unknown,651.0,491.0,127,-1,2,none,,,,,
101,0,green,673.0,335.0,181,2,1,green,12.955494280344205,685.726618705036,332.57553956834533,7,-19.857142857142858
101,1,red,695.0,355.0,178,6,2,red,17.953376333152733,691.7413793103449,337.3448275862069,14,20.714285714285715
101,2,green,678.0,317.0,152,-1,3,green,17.386721066897675,685.726618705036,332.57553956834533,7,-19.857142857142858
