frame,candidate_index,kind,u_px,v_px,l_value,a_delta,b_delta,halo_kind,halo_distance_px,halo_u_px,halo_v_px,halo_area,halo_mean_a_delta
113,40,unknown,797.0,520.0,141,1,2,none,,,,,
113,41,unknown,590.0,449.0,137,0,0,none,,,,,
113,42,unknown,583.0,440.0,136,0,1,none,,,,,
113,43,unknown,714.0,362.0,130,0,1,none,,,,,
113,44,unknown,726.0,414.0,129,0,2,none,,,,,
113,45,unknown,657.0,499.0,129,0,1,none,,,,,
113,46,unknown,625.0,532.0,129,0,1,none,,,,,
113,47,unknown,735.0,381.0,127,0,4,none,,,,,
113,48,unknown,613.0,481.0,127,0,0,none,,,,,
113,49,unknown,649.0,493.0,127,-1,2,none,,,,,
113,50,unknown,750.0,356.0,126,0,2,none,,,,,
113,51,unknown,788.0,531.0,123,0,3,none,,,,,
113,52,unknown,864.0,531.0,122,0,3,none,,,,,
113,53,unknown,932.0,271.0,118,0,4,none,,,,,
113,54,unknown,932.0,279.0,118,0,4,none,,,,,
116,0,green,677.0,334.0,187,1,4,green,9.236847081567653,686.2272727272727,333.57954545454544,12,-22.0
116,1,red,688.0,350.0,185,5,4,red,8.475125086138537,690.984375,342.0677083333333,9,21.333333333333332
116,2,green,667.0,339.0,181,0,1,green,19.976720051306355,686.2272727272727,333.57954545454544,12,-22.0
116,3,green,671.0,322.0,147,-1,4,green,19.129968835432752,686.2272727272727,333.57954545454544,12,-22.0
116,4,unknown,637.0,470.0,205,1,3,none,,,,,
116,5,unknown,630.0,476.0,205,0,2,none,,,,,
116,6,unknown,652.0,457.0,200,2,3,none,,,,,
116,7,unknown,644.0,464.0,199,1,3,none,,,,,
116,8,unknown,678.0,435.0,197,3,2,none,,,,,
116,9,unknown,672.0,440.0,196,1,3,none,,,,,
116,10,unknown,591.0,431.0,193,4,1,none,,,,,
116,11,unknown,621.0,375.0,192,2,2,none,,,,,
116,12,unknown,577.0,413.0,192,2,2,none,,,,,
116,13,unknown,597.0,438.0,189,2,3,none,,,,,
116,14,unknown,586.0,403.0,188,1,2,none,,,,,
116,15,unknown,600.0,392.0,187,4,3,none,,,,,
116,16,unknown,704.0,373.0,185,1,3,none,,,,,
116,17,unknown,501.0,165.0,184,0,6,none,,,,,
116,18,unknown,501.0,179.0,183,0,6,none,,,,,
116,19,unknown,650.0,352.0,182,1,3,none,,,,,
116,20,unknown,643.0,374.0,181,1,9,none,,,,,
116,21,unknown,502.0,247.0,178,0,5,none,,,,,
116,22,unknown,658.0,346.0,178,3,3,none,,,,,
116,23,unknown,990.0,449.0,177,1,-2,none,,,,,
116,24,unknown,990.0,499.0,177,1,-1,none,,,,,
116,25,unknown,503.0,376.0,176,-1,4,none,,,,,
116,26,unknown,989.0,432.0,175,1,-3,none,,,,,
116,27,unknown,989.0,396.0,172,2,-4,none,,,,,
116,28,unknown,987.0,323.0,171,1,-3,none,,,,,
116,29,unknown,987.0,335.0,170,-1,-3,none,,,,,
116,30,unknown,987.0,312.0,168,1,-1,none,,,,,
116,31,unknown,983.0,155.0,162,0,0,none,,,,,
116,32,unknown,990.0,178.0,161,0,-2,none,,,,,
116,33,unknown,432.0,175.0,158,-2,6,none,,,,,
116,34,unknown,796.0,517.0,152,0,1,none,,,,,
116,35,unknown,791.0,211.0,151,0,5,none,,,,,
116,36,unknown,580.0,392.0,150,0,2,none,,,,,
116,37,unknown,635.0,349.0,148,0,1,none,,,,,
116,38,unknown,790.0,157.0,147,1,5,none,,,,,
116,39,unknown,791.0,228.0,147,1,5,none,,,,,
116,40,unknown,792.0,259.0,147,0,5,none,,,,,
116,41,unknown,793.0,325.0,146,-1,4,none,,,,,
116,42,unknown,621.0,360.0,145,0,2,none,,,,,
116,43,unknown,589.0,385.0,145,0,1,none,,,,,
116,44,unknown,562.0,413.0,145,-1,2,none,,,,,
116,45,unknown,561.0,407.0,144,0,2,none,,,,,
116,46,unknown,796.0,500.0,144,1,2,none,,,,,
116,47,unknown,575.0,430.0,139,0,2,none,,,,,
116,48,unknown,379.0,527.0,137,0,1,none,,,,,
116,49,unknown,715.0,421.0,130,0,0,none,,,,,
116,50,unknown,657.0,499.0,129,0,2,none,,,,,
116,51,unknown,625.0,532.0,129,0,1,none,,,,,
116,52,unknown,606.0,471.0,128,-1,2,none,,,,,
116,53,unknown,624.0,496.0,128,0,0,none,,,,,
116,54,unknown,731.0,372.0,127,-2,4,none,,,,,
116,55,unknown,613.0,486.0,127,-1,2,none,,,,,
116,56,unknown,750.0,356.0,126,0,2,none,,,,,
116,57,unknown,788.0,531.0,123,0,3,none,,,,,
116,58,unknown,864.0,531.0,122,0,3,none,,,,,
116,59,unknown,932.0,271.0,118,-1,4,none,,,,,
116,60,unknown,932.0,279.0,118,-1,4,none,,,,,
130,0,green,678.0,335.0,187,0,2,green,11.576218937737197,689.5582822085889,335.6441717791411,9,-18.11111111111111
130,1,green,668.0,336.0,182,2,4,green,21.561218553410235,689.5582822085889,335.6441717791411,9,-18.11111111111111
130,2,red,687.0,348.0,180,4,3,red,8.08138999590591,692.5,342.07894736842104,6,19.0
130,3,green,669.0,322.0,151,0,1,green,24.6740023284974,689.5582822085889,335.6441717791411,9,-18.11111111111111
130,4,unknown,633.0,471.0,205,3,5,none,,,,,
130,5,unknown,646.0,460.0,201,1,3,none,,,,,
130,6,unknown,722.0,396.0,200,0,1,none,,,,,
130,7,unknown,678.0,433.0,195,3,3,none,,,,,
130,8,unknown,599.0,440.0,194,0,3,none,,,,,
130,9,unknown,702.0,413.0,192,2,4,none,,,,,
130,10,unknown,623.0,371.0,191,2,1,none,,,,,
130,11,unknown,707.0,376.0,191,3,2,none,,,,,
130,12,unknown,612.0,380.0,191,3,3,none,,,,,
130,13,unknown,713.0,384.0,191,4,3,none,,,,,
130,14,unknown,592.0,431.0,191,4,4,none,,,,,
130,15,unknown,577.0,412.0,190,2,2,none,,,,,
130,16,unknown,580.0,405.0,186,0,4,none,,,,,
130,17,unknown,592.0,396.0,185,3,2,none,,,,,
130,18,unknown,989.0,477.0,181,2,-5,none,,,,,
130,19,unknown,652.0,349.0,179,1,3,none,,,,,
130,20,unknown,502.0,352.0,178,1,3,none,,,,,
130,21,unknown,502.0,360.0,178,1,2,none,,,,,
130,22,unknown,990.0,498.0,178,1,-3,none,,,,,
130,23,unknown,502.0,374.0,176,-1,4,none,,,,,
130,24,unknown,988.0,428.0,176,2,-5,none,,,,,
130,25,unknown,502.0,322.0,171,-1,4,none,,,,,
130,26,unknown,987.0,339.0,171,2,-4,none,,,,,
130,27,unknown,501.0,204.0,166,-1,6,none,,,,,
130,28,unknown,503.0,480.0,165,0,1,none,,,,,
130,29,unknown,503.0,492.0,164,0,1,none,,,,,
130,30,unknown,983.0,180.0,163,1,-3,none,,,,,
130,31,unknown,431.0,173.0,162,-1,6,none,,,,,
130,32,unknown,795.0,497.0,153,0,1,none,,,,,
130,33,unknown,504.0,532.0,153,1,0,none,,,,,
130,34,unknown,790.0,180.0,150,0,5,none,,,,,
130,35,unknown,791.0,252.0,150,-1,4,none,,,,,
130,36,unknown,790.0,193.0,148,0,5,none,,,,,
130,37,unknown,790.0,202.0,148,-1,5,none,,,,,
130,38,unknown,791.0,232.0,147,-1,5,none,,,,,
130,39,unknown,613.0,364.0,147,1,0,none,,,,,
130,40,unknown,790.0,163.0,146,0,5,none,,,,,
130,41,unknown,790.0,171.0,146,0,5,none,,,,,
130,42,unknown,578.0,391.0,146,-1,2,none,,,,,
130,43,unknown,793.0,400.0,146,0,2,none,,,,,
130,44,unknown,658.0,329.0,145,0,1,none,,,,,
130,45,unknown,590.0,382.0,145,0,1,none,,,,,
130,46,unknown,560.0,405.0,145,0,1,none,,,,,
130,47,unknown,794.0,419.0,145,0,1,none,,,,,
130,48,unknown,649.0,336.0,144,0,1,none,,,,,
130,49,unknown,634.0,347.0,143,2,1,none,,,,,
130,50,unknown,792.0,285.0,141,-1,4,none,,,,,
130,51,unknown,483.0,403.0,141,-1,4,none,,,,,
130,52,unknown,583.0,440.0,139,0,2,none,,,,,
130,53,unknown,594.0,454.0,136,1,0,none,,,,,
130,54,unknown,493.0,473.0,134,0,2,none,,,,,
130,55,unknown,716.0,424.0,131,-2,4,none,,,,,
130,56,unknown,697.0,438.0,130,-2,4,none,,,,,
130,57,unknown,683.0,455.0,130,-2,4,none,,,,,
130,58,unknown,625.0,532.0,129,0,1,none,,,,,
130,59,unknown,645.0,493.0,128,-1,2,none,,,,,
130,60,unknown,610.0,475.0,127,-1,2,none,,,,,
130,61,unknown,896.0,295.0,122,0,4,none,,,,,
130,62,unknown,955.0,496.0,118,1,2,none,,,,,
134,0,unknown,688.0,341.0,241,-10,3,none,,,,,
134,1,unknown,611.0,456.0,199,2,1,none,,,,,
134,2,unknown,620.0,466.0,199,1,3,none,,,,,
134,3,unknown,720.0,397.0,195,4,1,none,,,,,
134,4,unknown,677.0,433.0,195,3,3,none,,,,,
134,5,unknown,612.0,379.0,192,-1,4,none,,,,,
134,6,unknown,584.0,421.0,192,3,7,none,,,,,
134,7,unknown,598.0,439.0,192,2,4,none,,,,,
134,8,unknown,621.0,372.0,191,3,-1,none,,,,,
134,9,unknown,717.0,390.0,191,3,3,none,,,,,
134,10,unknown,695.0,418.0,191,1,3,none,,,,,
134,11,unknown,578.0,413.0,190,3,5,none,,,,,
134,12,unknown,589.0,428.0,190,2,4,none,,,,,
134,13,unknown,588.0,398.0,186,-1,4,none,,,,,
134,14,unknown,677.0,334.0,184,1,2,none,,,,,
134,15,unknown,500.0,177.0,183,-2,6,none,,,,,
134,16,unknown,990.0,532.0,179,0,-2,none,,,,,
134,17,unknown,989.0,482.0,178,3,-5,none,,,,,
134,18,unknown,502.0,386.0,176,-1,4,none,,,,,
134,19,unknown,988.0,448.0,176,2,-5,none,,,,,
134,20,unknown,987.0,387.0,173,2,-4,none,,,,,
134,21,unknown,988.0,405.0,173,2,-4,none,,,,,
134,22,unknown,988.0,359.0,171,2,-5,none,,,,,
134,23,unknown,985.0,300.0,169,-1,-3,none,,,,,
134,24,unknown,984.0,223.0,168,-1,-3,none,,,,,
134,25,unknown,985.0,254.0,167,-1,-3,none,,,,,
134,26,unknown,503.0,516.0,165,0,2,none,,,,,
134,27,unknown,990.0,216.0,163,0,-2,none,,,,,
134,28,unknown,431.0,173.0,159,0,6,none,,,,,
134,29,unknown,790.0,200.0,150,-1,5,none,,,,,
134,30,unknown,791.0,275.0,150,-1,5,none,,,,,
134,31,unknown,791.0,258.0,147,-1,5,none,,,,,
134,32,unknown,643.0,340.0,145,0,1,none,,,,,
134,33,unknown,612.0,364.0,145,0,1,none,,,,,
134,34,unknown,582.0,387.0,145,0,1,none,,,,,
134,35,unknown,793.0,421.0,145,0,2,none,,,,,
134,36,unknown,597.0,375.0,144,0,2,none,,,,,
134,37,unknown,793.0,383.0,144,0,2,none,,,,,
134,38,unknown,627.0,352.0,143,0,2,none,,,,,
134,39,unknown,565.0,416.0,143,0,1,none,,,,,
134,40,unknown,574.0,428.0,140,0,2,none,,,,,
134,41,unknown,590.0,184.0,138,0,5,none,,,,,
134,42,unknown,582.0,439.0,137,0,1,none,,,,,
134,43,unknown,572.0,448.0,136,0,2,none,,,,,
134,44,unknown,683.0,462.0,130,-2,4,none,,,,,
134,45,unknown,625.0,532.0,129,0,1,none,,,,,
134,46,unknown,609.0,474.0,127,-1,2,none,,,,,
134,47,unknown,896.0,295.0,122,0,4,none,,,,,
134,48,unknown,698.0,343.0,121,2,6,none,,,,,
138,0,unknown,694.0,344.0,249,-2,2,none,,,,,
138,1,unknown,632.0,470.0,203,2,4,none,,,,,
138,2,unknown,645.0,459.0,199,3,4,none,,,,,
138,3,unknown,678.0,431.0,198,3,3,none,,,,,
138,4,unknown,616.0,462.0,198,1,3,none,,,,,
138,5,unknown,653.0,452.0,197,2,4,none,,,,,
138,6,unknown,720.0,396.0,194,2,1,none,,,,,
138,7,unknown,613.0,377.0,193,1,2,none,,,,,
138,8,unknown,701.0,412.0,193,3,3,none,,,,,
138,9,unknown,685.0,425.0,193,3,3,none,,,,,
138,10,unknown,621.0,371.0,191,3,-1,none,,,,,
138,11,unknown,605.0,384.0,190,2,2,none,,,,,
138,12,unknown,711.0,383.0,188,4,3,none,,,,,
138,13,unknown,703.0,372.0,187,4,3,none,,,,,
138,14,unknown,683.0,344.0,186,1,5,none,,,,,
138,15,unknown,592.0,394.0,186,3,2,none,,,,,
138,16,unknown,688.0,351.0,185,1,4,none,,,,,
138,17,unknown,642.0,354.0,184,1,3,none,,,,,
138,18,unknown,674.0,331.0,182,1,0,none,,,,,
138,19,unknown,696.0,362.0,181,3,3,none,,,,,
138,20,unknown,988.0,513.0,181,1,-5,none,,,,,
138,21,unknown,499.0,184.0,179,0,6,none,,,,,
138,22,unknown,987.0,458.0,179,1,-3,none,,,,,
138,23,unknown,500.0,256.0,178,0,6,none,,,,,
138,24,unknown,654.0,345.0,178,3,3,none,,,,,
138,25,unknown,499.0,199.0,176,1,4,none,,,,,
138,26,unknown,501.0,374.0,175,1,2,none,,,,,
138,27,unknown,987.0,428.0,174,2,-4,none,,,,,
138,28,unknown,501.0,446.0,173,0,2,none,,,,,
138,29,unknown,499.0,213.0,170,0,5,none,,,,,
138,30,unknown,983.0,239.0,170,0,-3,none,,,,,
138,31,unknown,990.0,331.0,170,0,-3,none,,,,,
138,32,unknown,984.0,268.0,168,-1,-3,none,,,,,
138,33,unknown,984.0,308.0,168,-1,-3,none,,,,,
138,34,unknown,983.0,232.0,167,-1,-3,none,,,,,
138,35,unknown,502.0,530.0,165,0,1,none,,,,,
138,36,unknown,987.0,155.0,162,-1,-3,none,,,,,
138,37,unknown,429.0,173.0,160,0,6,none,,,,,
138,38,unknown,793.0,505.0,155,0,1,none,,,,,
138,39,unknown,793.0,468.0,150,-1,4,none,,,,,
138,40,unknown,790.0,282.0,148,-1,5,none,,,,,
138,41,unknown,668.0,321.0,148,1,0,none,,,,,
138,42,unknown,791.0,342.0,147,-1,4,none,,,,,
138,43,unknown,791.0,329.0,146,0,2,none,,,,,
138,44,unknown,566.0,399.0,146,0,1,none,,,,,
138,45,unknown,640.0,341.0,145,0,1,none,,,,,
138,46,unknown,794.0,520.0,145,0,1,none,,,,,
138,47,unknown,589.0,381.0,143,0,1,none,,,,,
138,48,unknown,790.0,242.0,141,-1,5,none,,,,,
138,49,unknown,569.0,423.0,141,0,2,none,,,,,
138,50,unknown,576.0,433.0,138,-1,3,none,,,,,
138,51,unknown,580.0,442.0,135,-2,4,none,,,,,
138,52,unknown,588.0,448.0,134,0,1,none,,,,,
138,53,unknown,594.0,455.0,134,0,0,none,,,,,
138,54,unknown,674.0,155.0,131,-2,4,none,,,,,
138,55,unknown,624.0,499.0,131,0,0,none,,,,,
138,56,unknown,713.0,361.0,130,1,2,none,,,,,
138,57,unknown,710.0,424.0,130,0,2,none,,,,,
138,58,unknown,624.0,532.0,129,0,1,none,,,,,
138,59,unknown,720.0,243.0,127,0,5,none,,,,,
168,0,unknown,688.0,351.0,243,-6,3,none,,,,,
168,1,unknown,601.0,452.0,201,2,2,none,,,,,
168,2,unknown,647.0,453.0,199,2,3,none,,,,,
168,3,unknown,712.0,392.0,197,3,3,none,,,,,
168,4,unknown,668.0,435.0,194,3,3,none,,,,,
168,5,unknown,602.0,382.0,191,1,3,none,,,,,
168,6,unknown,580.0,425.0,191,4,3,none,,,,,
168,7,unknown,692.0,415.0,190,3,3,none,,,,,
168,8,unknown,570.0,412.0,189,1,3,none,,,,,
168,9,unknown,668.0,331.0,188,0,1,none,,,,,
168,10,unknown,578.0,401.0,188,1,3,none,,,,,
168,11,unknown,695.0,369.0,186,3,4,none,,,,,
168,12,unknown,606.0,403.0,185,5,4,none,,,,,
168,13,unknown,678.0,345.0,184,1,3,none,,,,,
168,14,unknown,661.0,336.0,181,3,2,none,,,,,
168,15,unknown,637.0,354.0,181,1,3,none,,,,,
168,16,unknown,651.0,378.0,179,3,5,none,,,,,
168,17,unknown,981.0,466.0,179,2,-4,none,,,,,
168,18,unknown,983.0,532.0,179,0,-2,none,,,,,
168,19,unknown,492.0,155.0,177,-1,4,none,,,,,
168,20,unknown,990.0,356.0,177,0,-2,none,,,,,
168,21,unknown,990.0,365.0,177,1,-1,none,,,,,
168,22,unknown,990.0,372.0,177,1,-2,none,,,,,
168,23,unknown,493.0,215.0,176,1,4,none,,,,,
168,24,unknown,981.0,447.0,176,2,-4,none,,,,,
168,25,unknown,981.0,453.0,176,2,-4,none,,,,,
168,26,unknown,989.0,322.0,175,0,0,none,,,,,
168,27,unknown,982.0,434.0,174,2,-5,none,,,,,
168,28,unknown,979.0,359.0,173,1,-3,none,,,,,
168,29,unknown,495.0,386.0,173,0,4,none,,,,,
168,30,unknown,980.0,401.0,173,2,-5,none,,,,,
168,31,unknown,988.0,270.0,171,0,0,none,,,,,
168,32,unknown,989.0,306.0,171,0,0,none,,,,,
168,33,unknown,423.0,173.0,168,0,6,none,,,,,
168,34,unknown,987.0,258.0,168,0,-2,none,,,,,
168,35,unknown,986.0,195.0,167,1,0,none,,,,,
168,36,unknown,495.0,351.0,167,-1,5,none,,,,,
168,37,unknown,985.0,155.0,166,0,0,none,,,,,
168,38,unknown,985.0,171.0,166,1,-2,none,,,,,
168,39,unknown,496.0,507.0,165,0,1,none,,,,,
168,40,unknown,976.0,200.0,163,1,-3,none,,,,,
168,41,unknown,788.0,517.0,153,0,2,none,,,,,
168,42,unknown,788.0,524.0,153,-1,3,none,,,,,
168,43,unknown,662.0,321.0,151,0,1,none,,,,,
168,44,unknown,398.0,271.0,150,-2,6,none,,,,,
168,45,unknown,787.0,441.0,148,-1,4,none,,,,,
168,46,unknown,783.0,193.0,146,1,5,none,,,,,
168,47,unknown,784.0,271.0,146,1,3,none,,,,,
168,48,unknown,555.0,413.0,146,0,2,none,,,,,
168,49,unknown,783.0,183.0,145,0,5,none,,,,,
168,50,unknown,651.0,329.0,145,0,2,none,,,,,
168,51,unknown,588.0,378.0,145,1,0,none,,,,,
168,52,unknown,376.0,408.0,145,-1,4,none,,,,,
168,53,unknown,784.0,256.0,144,0,5,none,,,,,
168,54,unknown,787.0,431.0,144,2,1,none,,,,,
168,55,unknown,783.0,177.0,141,0,5,none,,,,,
168,56,unknown,484.0,255.0,141,-1,5,none,,,,,
168,57,unknown,786.0,408.0,141,-1,4,none,,,,,
168,58,unknown,482.0,188.0,140,-3,8,none,,,,,
168,59,unknown,785.0,350.0,140,0,2,none,,,,,
168,60,unknown,786.0,365.0,139,0,2,none,,,,,
168,61,unknown,573.0,436.0,137,0,2,none,,,,,
168,62,unknown,543.0,532.0,133,0,1,none,,,,,
168,63,unknown,592.0,461.0,132,0,0,none,,,,,
168,64,unknown,576.0,502.0,131,0,1,none,,,,,
168,65,unknown,590.0,475.0,130,-1,2,none,,,,,
168,66,unknown,719.0,411.0,127,0,1,none,,,,,
168,67,unknown,604.0,477.0,127,0,0,none,,,,,
168,68,unknown,637.0,492.0,127,0,0,none,,,,,
168,69,unknown,864.0,531.0,120,0,3,none,,,,,
168,70,unknown,926.0,525.0,116,1,2,none,,,,,
178,0,unknown,620.0,474.0,208,2,2,none,,,,,
178,1,unknown,599.0,453.0,202,0,4,none,,,,,
178,2,unknown,612.0,468.0,201,2,3,none,,,,,
178,3,unknown,635.0,461.0,200,4,4,none,,,,,
178,4,unknown,661.0,439.0,199,3,3,none,,,,,
178,5,unknown,648.0,450.0,199,2,2,none,,,,,
178,6,unknown,590.0,441.0,194,5,2,none,,,,,
178,7,unknown,692.0,413.0,193,3,3,none,,,,,
178,8,unknown,604.0,378.0,192,3,2,none,,,,,
178,9,unknown,610.0,374.0,191,4,2,none,,,,,
178,10,unknown,701.0,381.0,191,3,3,none,,,,,
178,11,unknown,567.0,412.0,191,0,1,none,,,,,
178,12,unknown,574.0,421.0,190,4,4,none,,,,,
178,13,unknown,590.0,389.0,189,1,1,none,,,,,
178,14,unknown,582.0,431.0,189,4,3,none,,,,,
178,15,unknown,622.0,439.0,186,2,7,none,,,,,
178,16,unknown,989.0,475.0,185,2,-4,none,,,,,
178,17,unknown,668.0,335.0,184,2,2,none,,,,,
178,18,unknown,661.0,381.0,182,5,5,none,,,,,
178,19,unknown,979.0,492.0,180,2,-4,none,,,,,
178,20,unknown,490.0,188.0,179,0,5,none,,,,,
178,21,unknown,490.0,210.0,179,0,6,none,,,,,
178,22,unknown,658.0,336.0,179,2,3,none,,,,,
178,23,unknown,980.0,531.0,179,1,-3,none,,,,,
178,24,unknown,988.0,509.0,178,3,-5,none,,,,,
178,25,unknown,490.0,224.0,174,0,5,none,,,,,
178,26,unknown,988.0,398.0,174,0,1,none,,,,,
178,27,unknown,978.0,412.0,174,1,-3,none,,,,,
178,28,unknown,489.0,155.0,172,-1,4,none,,,,,
178,29,unknown,986.0,314.0,172,-1,2,none,,,,,
178,30,unknown,975.0,296.0,171,-2,-2,none,,,,,
178,31,unknown,985.0,286.0,170,1,-1,none,,,,,
178,32,unknown,975.0,308.0,170,-1,-3,none,,,,,
178,33,unknown,974.0,269.0,169,-1,-3,none,,,,,
178,34,unknown,982.0,155.0,168,0,0,none,,,,,
178,35,unknown,975.0,286.0,168,-1,-3,none,,,,,
178,36,unknown,976.0,318.0,168,-1,-3,none,,,,,
178,37,unknown,420.0,173.0,166,-1,6,none,,,,,
178,38,unknown,973.0,220.0,166,-1,-3,none,,,,,
178,39,unknown,973.0,192.0,165,-1,-2,none,,,,,
178,40,unknown,493.0,456.0,165,0,2,none,,,,,
178,41,unknown,493.0,464.0,165,0,2,none,,,,,
178,42,unknown,972.0,175.0,163,1,-3,none,,,,,
178,43,unknown,781.0,272.0,151,0,4,none,,,,,
178,44,unknown,782.0,311.0,150,0,1,none,,,,,
178,45,unknown,779.0,156.0,148,0,5,none,,,,,
178,46,unknown,781.0,250.0,148,0,4,none,,,,,
178,47,unknown,783.0,377.0,148,-1,4,none,,,,,
178,48,unknown,660.0,321.0,147,0,1,none,,,,,
178,49,unknown,557.0,400.0,147,-1,2,none,,,,,
178,50,unknown,782.0,323.0,146,1,5,none,,,,,
178,51,unknown,602.0,365.0,146,0,1,none,,,,,
178,52,unknown,577.0,384.0,146,-1,4,none,,,,,
178,53,unknown,786.0,530.0,146,0,2,none,,,,,
178,54,unknown,781.0,238.0,145,1,5,none,,,,,
178,55,unknown,551.0,405.0,145,0,1,none,,,,,
178,56,unknown,554.0,415.0,145,0,1,none,,,,,
178,57,unknown,780.0,177.0,144,1,3,none,,,,,
178,58,unknown,783.0,392.0,144,-2,4,none,,,,,
178,59,unknown,644.0,332.0,143,0,1,none,,,,,
178,60,unknown,585.0,378.0,141,0,1,none,,,,,
178,61,unknown,573.0,443.0,136,0,2,none,,,,,
178,62,unknown,527.0,532.0,133,0,1,none,,,,,
178,63,unknown,483.0,528.0,132,0,2,none,,,,,
178,64,unknown,476.0,532.0,132,0,1,none,,,,,
178,65,unknown,684.0,440.0,131,0,2,none,,,,,
178,66,unknown,711.0,415.0,130,-1,2,none,,,,,
178,67,unknown,611.0,493.0,130,-1,2,none,,,,,
178,68,unknown,712.0,368.0,129,0,2,none,,,,,
178,69,unknown,733.0,307.0,127,0,4,none,,,,,
178,70,unknown,727.0,384.0,127,-1,4,none,,,,,
178,71,unknown,722.0,409.0,127,0,2,none,,,,,
178,72,unknown,744.0,395.0,126,-1,4,none,,,,,
178,73,unknown,667.0,493.0,125,-1,4,none,,,,,
178,74,unknown,826.0,470.0,123,0,3,none,,,,,
178,75,unknown,689.0,344.0,120,0,4,none,,,,,
178,76,unknown,622.0,489.0,108,0,0,none,,,,,
196,0,red,690.0,357.0,226,-7,3,red,4.7050148547341575,694.487012987013,355.5844155844156,8,19.25
196,1,red,695.0,373.0,194,3,3,red,17.423137955369583,694.487012987013,355.5844155844156,8,19.25
196,2,red,700.0,379.0,191,1,3,red,24.05582298173818,694.487012987013,355.5844155844156,8,19.25
196,3,red,714.0,371.0,127,0,2,red,24.86758743913465,694.487012987013,355.5844155844156,8,19.25
196,4,unknown,617.0,473.0,206,2,4,none,,,,,
196,5,unknown,666.0,431.0,200,2,3,none,,,,,
196,6,unknown,638.0,455.0,200,5,5,none,,,,,
196,7,unknown,603.0,457.0,200,3,3,none,,,,,
196,8,unknown,646.0,448.0,199,1,3,none,,,,,
196,9,unknown,609.0,464.0,199,1,3,none,,,,,
196,10,unknown,711.0,394.0,198,1,3,none,,,,,
196,11,unknown,614.0,367.0,193,1,3,none,,,,,
196,12,unknown,600.0,378.0,192,2,2,none,,,,,
196,13,unknown,566.0,410.0,191,2,1,none,,,,,
196,14,unknown,582.0,393.0,187,1,3,none,,,,,
196,15,unknown,573.0,400.0,187,3,2,none,,,,,
196,16,unknown,490.0,318.0,186,0,4,none,,,,,
196,17,unknown,664.0,329.0,182,2,1,none,,,,,
196,18,unknown,490.0,332.0,182,0,2,none,,,,,
196,19,unknown,977.0,479.0,180,0,-2,none,,,,,
196,20,unknown,640.0,347.0,179,3,3,none,,,,,
196,21,unknown,987.0,448.0,179,1,-2,none,,,,,
196,22,unknown,987.0,471.0,179,1,-2,none,,,,,
196,23,unknown,987.0,482.0,179,1,-2,none,,,,,
196,24,unknown,675.0,375.0,178,5,6,none,,,,,
196,25,unknown,977.0,455.0,177,0,-2,none,,,,,
196,26,unknown,648.0,340.0,176,3,3,none,,,,,
196,27,unknown,985.0,337.0,175,1,-2,none,,,,,
196,28,unknown,985.0,330.0,174,1,-3,none,,,,,
196,29,unknown,985.0,353.0,174,1,-3,none,,,,,
196,30,unknown,647.0,355.0,174,4,7,none,,,,,
196,31,unknown,974.0,320.0,173,0,-2,none,,,,,
196,32,unknown,975.0,347.0,173,1,-3,none,,,,,
196,33,unknown,975.0,372.0,173,-1,-2,none,,,,,
196,34,unknown,983.0,244.0,171,2,-2,none,,,,,
196,35,unknown,984.0,282.0,170,1,2,none,,,,,
196,36,unknown,973.0,261.0,169,-2,-1,none,,,,,
196,37,unknown,981.0,155.0,167,1,0,none,,,,,
196,38,unknown,982.0,189.0,166,0,1,none,,,,,
196,39,unknown,971.0,179.0,165,-1,-2,none,,,,,
196,40,unknown,419.0,170.0,160,0,6,none,,,,,
196,41,unknown,404.0,264.0,151,-2,6,none,,,,,
196,42,unknown,779.0,221.0,150,0,4,none,,,,,
196,43,unknown,657.0,320.0,150,0,1,none,,,,,
196,44,unknown,778.0,157.0,148,0,5,none,,,,,
196,45,unknown,416.0,323.0,148,-1,4,none,,,,,
196,46,unknown,780.0,259.0,147,0,4,none,,,,,
196,47,unknown,648.0,326.0,147,2,1,none,,,,,
196,48,unknown,567.0,389.0,146,-1,3,none,,,,,
196,49,unknown,782.0,397.0,146,0,2,none,,,,,
196,50,unknown,555.0,398.0,146,0,1,none,,,,,
196,51,unknown,618.0,349.0,145,0,2,none,,,,,
196,52,unknown,605.0,359.0,145,0,2,none,,,,,
196,53,unknown,592.0,369.0,144,1,0,none,,,,,
196,54,unknown,632.0,338.0,143,1,0,none,,,,,
196,55,unknown,583.0,376.0,143,0,2,none,,,,,
196,56,unknown,783.0,419.0,140,0,2,none,,,,,
196,57,unknown,539.0,210.0,139,0,5,none,,,,,
196,58,unknown,576.0,197.0,138,0,5,none,,,,,
196,59,unknown,511.0,428.0,136,0,2,none,,,,,
196,60,unknown,583.0,452.0,132,2,1,none,,,,,
196,61,unknown,703.0,418.0,131,0,2,none,,,,,
196,62,unknown,587.0,460.0,130,0,1,none,,,,,
196,63,unknown,688.0,456.0,129,0,2,none,,,,,
196,64,unknown,773.0,306.0,126,0,5,none,,,,,
196,65,unknown,635.0,490.0,126,0,1,none,,,,,
196,66,unknown,885.0,178.0,122,-1,4,none,,,,,
196,67,unknown,990.0,157.0,119,0,5,none,,,,,
