frame,candidate_index,u_px,v_px,blob_size,response,brightness,pathway,pathway_idx
80,0,692.165932452276,332.33847283406755,1.8242043256759644,0.0,255.0,high,4
80,1,689.6015283842795,340.19323144104806,1.7207592725753784,0.0,187.0,high,3
80,2,683.0032918800292,330.47037307973665,6.233957290649414,0.0,185.0,high,5
80,3,660.1428571428571,411.2857142857143,3.1135902404785156,0.0,181.0,high,0
80,4,700.0,362.750346740638,1.7207592725753784,0.0,181.0,high,2
80,5,678.5,404.0,3.1622776985168457,0.0,180.0,high,1
80,6,601.4953846153846,457.1158974358974,1.7916128635406494,0.0,125.0,low,10
80,7,723.7022362136344,343.02301346070345,19.243610382080078,0.0,124.0,low,17
80,8,729.141670128791,364.2941420855837,5.465440273284912,0.0,123.0,low,16
80,9,649.6917643522693,499.1444244063721,9.2219820022583,0.0,122.0,low,4
80,10,650.4953464322647,486.5005170630817,2.288245677947998,0.0,122.0,low,8
80,11,715.5147611379496,425.38271604938274,6.668808937072754,0.0,122.0,low,12
80,12,728.3538873994638,415.1372654155496,9.059624671936035,0.0,122.0,low,15
80,13,692.5,525.5,5.209666728973389,0.0,121.0,low,0
80,14,649.5,510.5,2.288245677947998,0.0,121.0,low,2
80,15,668.6276841080305,504.04427817352536,19.779939651489258,0.0,121.0,low,5
80,16,660.7973421926911,490.59966777408636,1.7916128635406494,0.0,121.0,low,6
80,17,614.5,486.5,1.4142135381698608,0.0,121.0,low,9
80,18,723.5,430.5,2.288245677947998,0.0,121.0,low,11
80,19,746.5,411.0,4.130648612976074,0.0,120.0,low,14
80,20,786.0,329.5,4.123105525970459,0.0,120.0,low,19
91,0,686.4830970556161,329.51908396946567,1.4142135381698608,0.0,246.0,high,5
91,1,686.5038546255506,341.4955947136564,3.44663405418396,0.0,185.0,high,4
91,2,688.4284584980237,349.2822134387352,1.813529372215271,0.0,182.0,high,3
91,3,645.1666666666666,417.1666666666667,2.8491294384002686,0.0,180.0,high,0
91,4,667.0,411.5,5.830951690673828,0.0,180.0,high,1
91,5,640.5,392.5,1.4142135381698608,0.0,180.0,high,2
91,6,989.2273240397994,199.6623349347615,98.16849517822266,0.0,163.0,low,19
91,7,760.3921069382559,406.3119032463399,5.934618949890137,0.0,124.0,low,9
91,8,663.7093674270911,499.4890114481491,11.312813758850098,0.0,122.0,low,4
91,9,718.219557195572,421.2250922509225,3.179586887359619,0.0,122.0,low,7
91,10,725.3268698060942,413.1689750692521,1.832491397857666,0.0,122.0,low,8
91,11,988.5563770794824,373.2181146025878,3.6762397289276123,0.0,122.0,low,13
91,12,678.5,520.5,1.4142135381698608,0.0,121.0,low,0
91,13,647.7,512.9,4.0218892097473145,0.0,121.0,low,1
91,14,654.5,502.5,1.4142135381698608,0.0,121.0,low,2
91,15,612.5,488.5,1.4142135381698608,0.0,121.0,low,5
